ID length robot_feedback previous_score current_result diff
user_47/session_1 7 0 -2 -1 4 -0.011450939192
user_47/session_1 7 1 -3 1 3 0.016053587061
user_47/session_1 9 0 3 -1 2 -0.02057589766
user_47/session_1 7 0 -4 -1 1 0.002193584145
user_47/session_1 5 0 -3 1 0 0.000303239665
user_47/session_1 3 0 2 1 2 0.002916472921
user_47/session_1 7 0 1 -1 3 0.003973899768
user_47/session_1 9 0 -3 -1 5 -0.011651500151
user_47/session_1 9 2 -4 -1 3 0.002596164805
user_47/session_1 9 0 -4 -1 4 0.005732326445
user_47/session_1 9 1 -4 -1 1 -0.005460445658
user_47/session_1 5 0 -4 -1 1 0.015474425389
user_47/session_1 5 0 -2 -1 0 -0.017637971455
user_47/session_1 3 0 -2 1 5 0.02732108832
user_47/session_1 3 2 1 1 2 -0.019425688982
user_47/session_1 7 0 1 -1 3 0.012526486211
user_47/session_1 9 0 -3 -1 2 0.004118006254
user_47/session_1 7 0 -4 -1 1 -0.008011609247
user_47/session_1 5 0 -3 1 4 -0.010108214268
user_47/session_1 5 1 2 1 0 -0.004613450427
user_47/session_1 3 0 2 1 4 0.023549462761
user_47/session_1 3 1 1 1 3 -0.010515486908
user_47/session_1 9 0 1 -1 2 -0.014676958472
user_47/session_1 7 0 -4 -1 -1 0.009165403238
user_16/session_1 5 0 1 -1 2 -0.021991928669
user_16/session_1 7 0 -2 -1 4 0.01333634673
user_16/session_1 7 1 -3 -1 2 -0.007402394564
user_16/session_1 7 0 -3 -1 3 0.095964200039
user_16/session_1 9 0 -3 -1 5 -0.0690467523
user_16/session_1 9 2 -4 -1 1 0.014975644429
user_16/session_1 5 0 -4 1 4 -0.026408994549
user_16/session_1 5 1 2 1 0 -0.007393752278
user_16/session_1 3 0 2 1 0 -0.023685200003
user_16/session_1 3 0 1 1 2 0.006777449966
user_16/session_1 7 0 1 -1 4 -0.005009844969
user_16/session_1 7 1 -3 -1 3 0.011277343797
user_16/session_1 9 0 -3 -1 5 0.004006819563
user_16/session_1 9 2 -4 -1 2 0.029137031664
user_16/session_1 7 0 -4 -1 1 -0.029378007489
user_16/session_1 5 0 -3 1 4 0.012488941155
user_16/session_1 5 1 2 1 0 -0.000219961799
user_16/session_1 3 0 2 1 1 -0.003782804785
user_16/session_1 5 0 1 -1 3 -0.016711624258
user_16/session_1 9 0 -2 -1 5 0.007133036137
user_16/session_1 9 2 -4 -1 4 0.008062023473
user_16/session_1 9 1 -4 -1 1 0.009927789043
user_16/session_1 5 0 -4 1 0 -0.007019603794
user_16/session_1 3 0 2 1 -1 -0.020836726122
user_52/session_1 9 0 3 -1 5 -0.016945808434
user_52/session_1 9 2 -4 -1 3 0.000409689284
user_52/session_1 9 0 -4 -1 1 0.001413533976
user_52/session_1 5 0 -4 -1 0 0.013994793308
user_52/session_1 3 0 -2 1 4 -0.002745752331
user_52/session_1 3 1 1 1 1 0.015232013284
user_52/session_1 5 0 1 1 0 -0.00622751669
user_52/session_1 3 0 2 1 4 -0.009832679252
user_52/session_1 3 1 1 1 1 0.008069059323
user_52/session_1 5 0 1 1 2 0.002458000833
user_52/session_1 7 0 2 -1 2 -0.011565495672
user_52/session_1 7 0 -3 1 5 0.008757720476
user_52/session_1 7 2 3 1 1 -0.00711957763
user_52/session_1 5 0 3 1 2 -0.000800578901
user_52/session_1 7 0 2 -1 4 0.002451594923
user_52/session_1 7 1 -3 1 3 0.002502682402
user_52/session_1 9 0 3 -1 2 -0.007661063995
user_52/session_1 7 0 -4 1 5 0.003456103511
user_52/session_1 7 2 3 -1 2 -0.0010280137
user_52/session_1 7 0 -3 -1 1 -0.000459230992
user_52/session_1 5 0 -3 1 0 0.005574836878
user_52/session_1 3 0 2 1 4 -0.00455414833
user_52/session_1 3 1 1 1 2 0.004268223643
user_52/session_1 7 0 1 -1 -1 -0.00363432259
user_41/session_1 7 0 -3 -1 5 0.000469368934
user_41/session_1 7 2 -3 -1 3 0.001946010171
