ID length robot_feedback previous_score current_result action diff
user_1/session_5 7 0 2 -1 4 0.0263150054624
user_1/session_5 7 1 -3 1 3 -0.0092269692424
user_1/session_5 9 0 3 -1 2 -0.021740337838
user_1/session_5 7 0 -4 1 1 0.0739103502015
user_1/session_5 5 0 3 1 0 0.0085226604259
user_1/session_5 3 0 2 1 2 -0.0900855988184
user_1/session_5 7 0 1 -1 3 0.015139020132
user_1/session_5 9 0 -3 1 5 0.0608930248301
user_1/session_5 9 2 4 -1 3 -0.0722327896331
user_1/session_5 9 0 -4 1 4 0.102041508282
user_1/session_5 9 1 4 -1 1 -0.0780394995389
user_1/session_5 5 0 -4 1 1 0.0423663021847
user_1/session_5 5 0 2 1 0 -0.0170395149729
user_1/session_5 3 0 2 1 5 -0.0155389143713
user_1/session_5 3 2 1 1 2 0.0278735043949
user_1/session_5 7 0 1 1 3 0.0202748165094
user_1/session_5 9 0 3 -1 2 -0.0471307446877
user_1/session_5 7 0 -4 -1 1 0.0410026434038
user_1/session_5 5 0 -3 1 4 -0.0404383755919
user_1/session_5 5 1 2 -1 0 -0.02847583168
user_1/session_5 3 0 -2 1 4 -0.022187479907
user_1/session_5 3 1 1 1 3 0.127273324907
user_1/session_5 9 0 1 1 2 -0.105277787167
user_1/session_5 7 0 4 -1 -1 0.003047326881
user_59/session_1 9 0 -3 -1 4 0.032838223431
user_59/session_1 9 1 -4 -1 1 -0.051930164557
user_59/session_1 5 0 -4 1 1 0.048570447854
user_59/session_1 5 0 2 1 0 -0.010027948257
user_59/session_1 3 0 2 1 5 -0.036665349688
user_59/session_1 3 2 1 1 2 -0.041134556289
user_59/session_1 7 0 1 1 1 0.056864097916
user_59/session_1 5 0 3 1 0 -0.005140340774
user_59/session_1 3 0 2 1 4 -0.008601407172
user_59/session_1 3 1 1 1 1 -0.047185400534
user_59/session_1 5 0 1 1 5 0.016559556414
user_59/session_1 5 2 2 1 2 0.004329124576
user_59/session_1 7 0 2 -1 3 0.005863766021
user_59/session_1 9 0 -3 1 4 0.069386204699
user_59/session_1 9 1 4 -1 3 0.003179064333
user_59/session_1 9 0 -4 1 2 0.032864458226
user_59/session_1 7 0 4 1 2 0.0596508435157
user_59/session_1 7 0 3 1 1 -0.0440500453847
user_59/session_1 5 0 3 1 5 -0.07457228585
user_59/session_1 5 2 2 1 2 -0.038027056204
user_59/session_1 7 0 2 -1 0 -0.024460651964
user_59/session_1 3 0 -3 1 4 0.104380714576
user_59/session_1 3 1 1 1 1 -0.028874710575
user_59/session_1 5 0 1 1 -1 -0.040376252116
user_8/session_1 5 0 1 1 4 0.34114054335
user_8/session_1 5 1 2 1 2 0.209567913223
user_8/session_1 7 0 2 1 3 -0.36285059294
user_8/session_1 9 0 3 1 4 -0.048416234928
user_8/session_1 9 1 4 1 1 0.021887969871
user_8/session_1 5 0 4 1 0 0.246927271772
user_8/session_1 3 0 2 1 4 -0.085676799925
user_8/session_1 3 1 1 1 2 0.451239649449
user_8/session_1 7 0 1 -1 0 -0.735266014125
user_8/session_1 3 0 -3 1 5 0.822708232212
user_8/session_1 3 2 1 1 1 -0.379903709754
user_8/session_1 5 0 1 1 2 -0.202932140428
user_8/session_1 7 0 2 -1 3 -0.190926928284
user_8/session_1 9 0 -3 1 4 -0.0053098281422
user_8/session_1 9 1 4 1 2 -0.0047805690439
user_8/session_1 7 0 4 1 0 0.100010722787
user_8/session_1 3 0 3 1 5 0.065020757379
user_8/session_1 3 2 1 1 1 -0.292635484684
user_8/session_1 5 0 1 1 0 0.440500077784
user_8/session_1 3 0 2 1 2 -0.142637452084
user_8/session_1 7 0 1 1 5 0.204543888945
user_8/session_1 7 2 3 -1 2 -0.216392594394
user_8/session_1 7 0 -3 1 1 0.139832848917
user_8/session_1 5 0 3 1 -1 -0.002660386426
user_63/session_1 9 0 3 1 4 -0.080658196929
user_63/session_1 9 1 4 -1 1 0.035060962345
user_63/session_1 5 0 -4 1 1 -0.0119405085145
user_63/session_1 5 0 2 1 0 0.109301241043
user_63/session_1 3 0 2 1 5 -0.0327565203864
user_63/session_1 3 2 1 1 2 -0.0699774118899
user_63/session_1 7 0 1 -1 1 -0.0604381285171
user_63/session_1 5 0 -3 1 0 -0.0363408272313
user_63/session_1 3 0 2 1 4 0.130489699031
user_63/session_1 3 1 1 1 1 -0.0671463099074
user_63/session_1 5 0 1 1 5 -0.0556646993951
user_63/session_1 5 2 2 1 2 0.0816760342349
user_63/session_1 7 0 2 1 3 -0.0517151926297
