ID cluster length robot_feedback previous_score current_score current_result action engagement
user_23/session_1 0 7 0 0 -3 -1 4 -0.21589959256
user_23/session_1 0 7 1 -3 -3 -1 3 -0.264348524315
user_23/session_1 0 9 0 -3 -4 -1 2 -0.206609136677
user_23/session_1 0 7 0 -4 3 1 1 -0.149175685369
user_23/session_1 0 5 0 3 2 1 0 -0.173891389377
user_23/session_1 0 3 0 2 1 1 4 -0.198968620776
user_23/session_1 0 3 1 1 1 1 1 -0.261714684624
user_23/session_1 0 5 0 1 2 1 5 -0.219736443891
user_23/session_1 0 5 2 2 2 1 0 -0.200910655602
user_23/session_1 0 3 0 2 1 1 4 -0.240860545262
user_23/session_1 0 3 1 1 1 1 0 -0.190318744893
user_23/session_1 0 3 0 1 1 1 1 -0.200297370634
user_23/session_1 0 5 0 1 2 1 5 -0.213892629089
user_23/session_1 0 5 2 2 2 1 2 -0.215088606727
user_23/session_1 0 7 0 2 3 1 4 -0.123171729608
user_23/session_1 0 7 1 3 3 1 2 -0.203573065305
user_23/session_1 0 7 0 3 3 1 3 -0.154341424909
user_23/session_1 0 9 0 3 -4 -1 5 -0.213103302976
user_23/session_1 0 9 2 -4 -4 -1 1 -0.189839567436
user_23/session_1 0 5 0 -4 2 1 4 -0.201211285639
user_23/session_1 0 5 1 2 2 1 2 -0.158136437746
user_23/session_1 0 7 0 2 3 1 3 -0.205783287751
user_23/session_1 0 9 0 3 -4 -1 5 -0.178846405901
user_23/session_1 0 9 2 -4 -4 -1 3 -0.212027606836
user_23/session_1 0 9 0 -4 4 1 -1 -0.0228443150295
user_1/session_4 0 7 0 0 -3 -1 4 0.0819786029599
user_1/session_4 0 7 1 -3 3 1 3 -0.0918345532662
user_1/session_4 0 9 0 3 4 1 2 -0.0248897163627
user_1/session_4 0 7 0 4 3 1 1 -0.0174787215003
user_1/session_4 0 5 0 3 2 1 0 -0.0219340304965
user_1/session_4 0 3 0 2 1 1 4 0.0314648856182
user_1/session_4 0 3 1 1 1 1 1 -0.0884043229103
user_1/session_4 0 5 0 1 2 1 5 -0.0206809580455
user_1/session_4 0 5 2 2 2 1 0 -0.0299510606772
user_1/session_4 0 3 0 2 1 1 4 -0.200996954615
user_1/session_4 0 3 1 1 1 1 0 -0.0956277668362
user_1/session_4 0 3 0 1 1 1 1 -0.146278287737
user_1/session_4 0 5 0 1 2 1 5 0.014896693154
user_1/session_4 0 5 2 2 -2 -1 2 -0.0592936824629
user_1/session_4 0 7 0 -2 -3 -1 4 -0.0560952934886
user_1/session_4 0 7 1 -3 3 1 2 -0.10426322997
user_1/session_4 0 7 0 3 3 1 3 -0.00395521290874
user_1/session_4 0 9 0 3 -4 -1 5 -0.0239110781236
user_1/session_4 0 9 2 -4 4 1 1 -0.0490216986845
user_1/session_4 0 5 0 4 2 1 4 0.0820090213808
user_1/session_4 0 5 1 2 2 1 2 -0.0738387165138
user_1/session_4 0 7 0 2 3 1 3 -0.0381927737213
user_1/session_4 0 9 0 3 -4 -1 5 -0.196109756357
user_1/session_4 0 9 2 -4 -4 -1 3 -0.0669460389652
user_1/session_4 0 9 0 -4 -4 -1 -1 -0.0616704443375
user_1/session_5 2 5 0 0 2 1 2 -0.124023927592
user_1/session_5 2 7 0 2 -3 -1 4 -0.0977089221296
user_1/session_5 2 7 1 -3 3 1 3 -0.106935891372
user_1/session_5 2 9 0 3 -4 -1 2 -0.12867622921
user_1/session_5 2 7 0 -4 3 1 1 -0.0547658790085
user_1/session_5 2 5 0 3 2 1 0 -0.0462432185826
user_1/session_5 2 3 0 2 1 1 2 -0.136328817401
user_1/session_5 2 7 0 1 -3 -1 3 -0.121189797269
user_1/session_5 2 9 0 -3 4 1 5 -0.0602967724389
user_1/session_5 2 9 2 4 -4 -1 3 -0.132529562072
user_1/session_5 2 9 0 -4 4 1 4 -0.0304880537901
user_1/session_5 2 9 1 4 -4 -1 1 -0.108527553329
user_1/session_5 2 5 0 -4 2 1 1 -0.0661612511443
user_1/session_5 2 5 0 2 2 1 0 -0.0832007661172
user_1/session_5 2 3 0 2 1 1 5 -0.0987396804885
user_1/session_5 2 3 2 1 1 1 2 -0.0708661760936
user_1/session_5 2 7 0 1 3 1 3 -0.0505913595842
user_1/session_5 2 9 0 3 -4 -1 2 -0.0977221042719
user_1/session_5 2 7 0 -4 -3 -1 1 -0.0567194608681
user_1/session_5 2 5 0 -3 2 1 4 -0.09715783646
user_1/session_5 2 5 1 2 -2 -1 0 -0.12563366814
user_1/session_5 2 3 0 -2 1 1 4 -0.147821148047
user_1/session_5 2 3 1 1 1 1 3 -0.0205478231397
user_1/session_5 2 9 0 1 4 1 2 -0.125825610307
user_1/session_5 2 7 0 4 -3 -1 -1 -0.122778283426
user_59/session_1 2 7 0 0 -3 -1 3 -0.18619700082
user_59/session_1 2 9 0 -3 -4 -1 4 -0.153358777389
user_59/session_1 2 9 1 -4 -4 -1 1 -0.205288941946
user_59/session_1 2 5 0 -4 2 1 1 -0.156718494092
user_59/session_1 2 5 0 2 2 1 0 -0.166746442349
user_59/session_1 2 3 0 2 1 1 5 -0.203411792037
user_59/session_1 2 3 2 1 1 1 2 -0.244546348326
user_59/session_1 2 7 0 1 3 1 1 -0.18768225041
user_59/session_1 2 5 0 3 2 1 0 -0.192822591184
user_59/session_1 2 3 0 2 1 1 4 -0.201423998356
user_59/session_1 2 3 1 1 1 1 1 -0.24860939889
user_59/session_1 2 5 0 1 2 1 5 -0.232049842476
user_59/session_1 2 5 2 2 2 1 2 -0.2277207179
user_59/session_1 2 7 0 2 -3 -1 3 -0.221856951879
user_59/session_1 2 9 0 -3 4 1 4 -0.15247074718
user_59/session_1 2 9 1 4 -4 -1 3 -0.149291682847
user_59/session_1 2 9 0 -4 4 1 2 -0.116427224621
user_59/session_1 2 7 0 4 3 1 2 -0.0567763811053
user_59/session_1 2 7 0 3 3 1 1 -0.10082642649
user_59/session_1 2 5 0 3 2 1 5 -0.17539871234
user_59/session_1 2 5 2 2 2 1 2 -0.213425768544
user_59/session_1 2 7 0 2 -3 -1 0 -0.237886420508
user_59/session_1 2 3 0 -3 1 1 4 -0.133505705932
user_59/session_1 2 3 1 1 1 1 1 -0.162380416507
user_59/session_1 2 5 0 1 2 1 -1 -0.202756668623
user_34/session_1 0 7 0 0 3 1 3 -0.0193466573507
user_34/session_1 0 9 0 3 -4 -1 4 -0.215766204937
user_34/session_1 0 9 1 -4 -4 -1 1 -0.267155972095
user_34/session_1 0 5 0 -4 2 1 1 -0.11357441273
user_34/session_1 0 5 0 2 2 1 0 -0.173348056529
user_34/session_1 0 3 0 2 1 1 5 -0.231738985295
user_34/session_1 0 3 2 1 1 1 2 -0.196252187183
user_34/session_1 0 7 0 1 3 1 1 -0.0938302394283
user_34/session_1 0 5 0 3 2 1 0 -0.195295363631
user_34/session_1 0 3 0 2 1 1 4 -0.174267473335
user_34/session_1 0 3 1 1 1 1 1 -0.105795876008
user_34/session_1 0 5 0 1 2 1 5 -0.199212599899
user_34/session_1 0 5 2 2 2 1 2 -0.162058577281
user_34/session_1 0 7 0 2 3 1 3 -0.191259587921
user_34/session_1 0 9 0 3 -4 -1 4 -0.223678515234
user_34/session_1 0 9 1 -4 -4 -1 3 -0.124524434935
user_34/session_1 0 9 0 -4 -4 -1 2 -0.185399841191
user_34/session_1 0 7 0 -4 3 1 2 -0.227201415149
user_34/session_1 0 7 0 3 3 1 1 -0.164958221109
user_34/session_1 0 5 0 3 2 1 5 -0.0750087531022
user_34/session_1 0 5 2 2 2 1 2 -0.0691871646056
user_34/session_1 0 7 0 2 -3 -1 0 -0.176662243715
user_34/session_1 0 3 0 -3 1 1 4 -0.105372926872
user_34/session_1 0 3 1 1 1 1 1 -0.10571873508
user_34/session_1 0 5 0 1 2 1 -1 -0.14293360782
user_57/session_1 0 5 0 0 2 1 2 0.110375107925
user_57/session_1 0 7 0 2 3 1 4 0.0121004220262
user_57/session_1 0 7 1 3 3 1 3 -0.0463810450161
user_57/session_1 0 9 0 3 -4 -1 2 0.0288958597525
user_57/session_1 0 7 0 -4 3 1 1 -0.085745758903
user_57/session_1 0 5 0 3 2 1 0 -0.0778917852528
user_57/session_1 0 3 0 2 1 1 2 0.0934578301994
user_57/session_1 0 7 0 1 -3 -1 3 -0.116374838893
user_57/session_1 0 9 0 -3 -4 -1 5 -0.202823656265
user_57/session_1 0 9 2 -4 -4 -1 3 -0.102747392541
user_57/session_1 0 9 0 -4 -4 -1 4 -0.133147416011
user_57/session_1 0 9 1 -4 -4 -1 1 -0.0345820236844
user_57/session_1 0 5 0 -4 -2 -1 1 0.0334211845382
user_57/session_1 0 5 0 -2 2 1 0 0.0744740428997
user_57/session_1 0 3 0 2 1 1 5 -0.0221306429877
user_57/session_1 0 3 2 1 1 1 2 -0.0329192423116
user_57/session_1 0 7 0 1 3 1 3 0.0573314146001
user_57/session_1 0 9 0 3 4 1 2 -0.0128163684056
user_57/session_1 0 7 0 4 3 1 1 -0.0924302740649
user_57/session_1 0 5 0 3 2 1 4 -0.0148740443454
user_57/session_1 0 5 1 2 2 1 0 -0.019996477757
user_57/session_1 0 3 0 2 1 1 4 -0.02797860423
user_57/session_1 0 3 1 1 1 1 3 -0.121847347131
user_57/session_1 0 9 0 1 -4 -1 2 -0.14500157372
user_57/session_1 0 7 0 -4 3 1 -1 -0.0398155814407
user_26/session_1 0 3 0 0 1 1 1 0.0709077752318
user_26/session_1 0 5 0 1 2 1 2 -0.0673602033427
user_26/session_1 0 7 0 2 3 1 4 -0.146907450413
user_26/session_1 0 7 1 3 3 1 2 -0.202676458522
user_26/session_1 0 7 0 3 -3 -1 3 -0.258610892885
user_26/session_1 0 9 0 -3 -4 -1 5 -0.14870380767
user_26/session_1 0 9 2 -4 -4 -1 1 -0.137307024983
user_26/session_1 0 5 0 -4 2 1 4 -0.217280562285
user_26/session_1 0 5 1 2 2 1 0 -0.0799877738106
user_26/session_1 0 3 0 2 1 1 0 -0.233271026128
user_26/session_1 0 3 0 1 1 1 2 -0.0719760014637
user_26/session_1 0 7 0 1 3 1 4 0.0797994318982
user_26/session_1 0 7 1 3 3 1 3 -0.181759527563
user_26/session_1 0 9 0 3 -4 -1 5 -0.0949453007573
user_26/session_1 0 9 2 -4 4 1 2 -0.0667624260278
user_26/session_1 0 7 0 4 3 1 1 -0.178534485727
user_26/session_1 0 5 0 3 2 1 4 -0.0662793798941
user_26/session_1 0 5 1 2 2 1 0 -0.094808635457
user_26/session_1 0 3 0 2 1 1 1 0.086801020316
user_26/session_1 0 5 0 1 2 1 3 0.0225128648783
user_26/session_1 0 9 0 2 -4 -1 5 -0.151573075083
user_26/session_1 0 9 2 -4 -4 -1 4 -0.0889461100584
user_26/session_1 0 9 1 -4 -4 -1 1 -0.235218033528
user_26/session_1 0 5 0 -4 2 1 0 -0.150779010771
user_26/session_1 0 3 0 2 1 1 -1 -0.0668852075818
user_5/session_2 0 3 0 0 1 1 1 0.0409662705644
user_5/session_2 0 5 0 1 2 1 2 -0.199823820313
user_5/session_2 0 7 0 2 -3 -1 5 -0.180151155335
user_5/session_2 0 7 2 -3 3 1 1 -0.134248462569
user_5/session_2 0 5 0 3 2 1 0 -0.14498836075
user_5/session_2 0 3 0 2 1 1 4 -0.187965693064
user_5/session_2 0 3 1 1 1 1 2 -0.0406741053314
user_5/session_2 0 7 0 1 3 1 3 -0.0988653026002
user_5/session_2 0 9 0 3 4 1 5 -0.0968635303788
user_5/session_2 0 9 2 4 -4 -1 3 -0.101790282883
user_5/session_2 0 9 0 -4 -4 -1 1 -0.107542040527
user_5/session_2 0 5 0 -4 2 1 5 -0.136533014664
user_5/session_2 0 5 2 2 -2 -1 0 -0.198225144054
user_5/session_2 0 3 0 -2 1 1 4 -0.0461151627454
user_5/session_2 0 3 1 1 1 1 2 -0.0891462587673
user_5/session_2 0 7 0 1 3 1 5 -0.0358487654189
user_5/session_2 0 7 2 3 3 1 2 -0.0637334375935
user_5/session_2 0 7 0 3 3 1 3 -0.125623281935
user_5/session_2 0 9 0 3 -4 -1 2 -0.195668296737
user_5/session_2 0 7 0 -4 3 1 1 -0.0406059990748
user_5/session_2 0 5 0 3 2 1 4 -0.112601333516
user_5/session_2 0 5 1 2 -2 -1 3 -0.12543348097
user_5/session_2 0 9 0 -2 -4 -1 2 -0.13998357312
user_5/session_2 0 7 0 -4 -3 -1 3 -0.0259371912161
user_5/session_2 0 9 0 -3 -4 -1 -1 -0.0894002532551
user_8/session_1 2 3 0 0 1 1 1 0.00406106635741
user_8/session_1 2 5 0 1 2 1 4 0.345201609707
user_8/session_1 2 5 1 2 2 1 2 0.55476952293
user_8/session_1 2 7 0 2 3 1 3 0.19191892999
user_8/session_1 2 9 0 3 4 1 4 0.143502695062
user_8/session_1 2 9 1 4 4 1 1 0.165390664933
user_8/session_1 2 5 0 4 2 1 0 0.412317936705
user_8/session_1 2 3 0 2 1 1 4 0.32664113678
user_8/session_1 2 3 1 1 1 1 2 0.777880786229
user_8/session_1 2 7 0 1 -3 -1 0 0.0426147721035
