ID cluster length robot_feedback previous_result current_result engagement action
user_23/session_1 0 7 0 0 -1 0.3220160258 2
user_23/session_1 0 7 1 -3 -1 0.1845650934 4
user_23/session_1 0 9 0 -3 -1 0.3655568878 3
user_23/session_1 0 7 0 -4 1 0.3653075455 2
user_23/session_1 0 5 0 3 1 0.3113930605 1
user_23/session_1 0 3 0 2 1 0.2666355311 0
user_23/session_1 0 3 1 1 1 0.1166658923 4
user_23/session_1 0 5 0 1 1 0.1974654412 1
user_23/session_1 0 5 2 2 1 0.2632882348 5
user_23/session_1 0 3 0 2 1 0.1563930661 0
user_23/session_1 0 3 1 1 1 0.2967327156 4
user_23/session_1 0 3 0 1 1 0.2715541444 0
user_23/session_1 0 5 0 1 1 0.2174967059 1
user_23/session_1 0 5 2 2 1 0.2135465442 5
user_23/session_1 0 7 0 2 1 0.44184698 2
user_23/session_1 0 7 1 3 1 0.2440806354 4
user_23/session_1 0 7 0 3 1 0.3570777285 2
user_23/session_1 0 9 0 3 -1 0.3325103123 3
user_23/session_1 0 9 2 -4 -1 0.3797937356 5
user_23/session_1 0 5 0 -4 1 0.2348889045 1
user_23/session_1 0 5 1 2 1 0.3715577961 4
user_23/session_1 0 7 0 2 1 0.2336001111 2
user_23/session_1 0 9 0 3 -1 0.4357967844 3
user_23/session_1 0 9 2 -4 -1 0.3261740319 5
user_23/session_1 0 9 0 -4 1 0.72904028 3
user_1/session_4 0 7 0 0 -1 0.6932188967 2
user_1/session_4 0 7 1 -3 1 0.3286465856 4
user_1/session_4 0 9 0 3 1 0.4389269729 3
user_1/session_4 0 7 0 4 1 0.4548014512 2
user_1/session_4 0 5 0 3 1 0.4436888243 1
user_1/session_4 0 3 0 2 1 0.5571179216 0
user_1/session_4 0 3 1 1 1 0.3888375137 4
user_1/session_4 0 5 0 1 1 0.4523304778 1
user_1/session_4 0 5 2 2 1 0.4562725184 5
user_1/session_4 0 3 0 2 1 0.2074888166 0
user_1/session_4 0 3 1 1 1 0.3617150125 4
user_1/session_4 0 3 0 1 1 0.2828299995 0
user_1/session_4 0 5 0 1 1 0.5055001178 1
user_1/session_4 0 5 2 2 -1 0.4316662319 5
user_1/session_4 0 7 0 -2 -1 0.4751208784 2
user_1/session_4 0 7 1 -3 1 0.337681147 4
user_1/session_4 0 7 0 3 1 0.4902171632 2
user_1/session_4 0 9 0 3 -1 0.5244210323 3
user_1/session_4 0 9 2 -4 1 0.4212492164 5
user_1/session_4 0 5 0 4 1 0.615152595 1
user_1/session_4 0 5 1 2 1 0.390520134 4
user_1/session_4 0 7 0 2 1 0.4171371336 2
user_1/session_4 0 9 0 3 -1 0.2664037926 3
user_1/session_4 0 9 2 -4 -1 0.4459880061 5
user_1/session_4 0 9 0 -4 -1 0.4612573068 3
user_1/session_5 2 5 0 0 1 0.329529375 1
user_1/session_5 2 7 0 2 -1 0.4757979815 2
user_1/session_5 2 7 1 -3 1 0.3621465144 4
user_1/session_5 2 9 0 3 -1 0.4189334886 3
user_1/session_5 2 7 0 -4 1 0.4745275602 2
user_1/session_5 2 5 0 3 1 0.4844868759 1
user_1/session_5 2 3 0 2 1 0.3186931978 0
user_1/session_5 2 7 0 1 -1 0.4326488579 2
user_1/session_5 2 9 0 -3 1 0.4323069159 3
user_1/session_5 2 9 2 4 -1 0.4116814924 5
user_1/session_5 2 9 0 -4 1 0.5092905788 3
user_1/session_5 2 9 1 4 -1 0.4576143636 4
user_1/session_5 2 5 0 -4 1 0.4469896061 1
user_1/session_5 2 5 0 2 1 0.4010595485 1
user_1/session_5 2 3 0 2 1 0.3819239379 0
user_1/session_5 2 3 2 1 1 0.4711220389 5
user_1/session_5 2 7 0 1 1 0.4948887089 2
user_1/session_5 2 9 0 3 -1 0.4762564464 3
user_1/session_5 2 7 0 -4 -1 0.5581712434 2
user_1/session_5 2 5 0 -3 1 0.3771871456 1
user_1/session_5 2 5 1 2 -1 0.3859408164 4
user_1/session_5 2 3 0 -2 1 0.2841448562 0
user_1/session_5 2 3 1 1 1 0.5255168782 4
user_1/session_5 2 9 0 1 1 0.3072035586 3
user_1/session_5 2 7 0 4 -1 0.4370469397 2
user_59/session_1 2 7 0 0 -1 0.2973118041 2
user_59/session_1 2 9 0 -3 -1 0.3731598863 3
user_59/session_1 2 9 1 -4 -1 0.2593631708 4
user_59/session_1 2 5 0 -4 1 0.2670171673 1
user_59/session_1 2 5 0 2 1 0.2419004336 1
user_59/session_1 2 3 0 2 1 0.193553946 0
user_59/session_1 2 3 2 1 1 0.1248765535 5
user_59/session_1 2 7 0 1 1 0.2133190938 2
user_59/session_1 2 5 0 3 1 0.1941134157 1
user_59/session_1 2 3 0 2 1 0.2089488207 0
user_59/session_1 2 3 1 1 1 0.117990067 4
user_59/session_1 2 5 0 1 1 0.1261551478 1
user_59/session_1 2 5 2 2 1 0.1394862863 5
user_59/session_1 2 7 0 2 -1 0.2377893411 2
user_59/session_1 2 9 0 -3 1 0.2662221457 3
user_59/session_1 2 9 1 4 -1 0.3656619072 4
user_59/session_1 2 9 0 -4 1 0.3476437432 3
user_59/session_1 2 7 0 4 1 0.4763235068 2
user_59/session_1 2 7 0 3 1 0.3673101592 2
user_59/session_1 2 5 0 3 1 0.2388000418 1
user_59/session_1 2 5 2 2 1 0.1638714055 5
user_59/session_1 2 7 0 2 -1 0.2092266435 2
user_59/session_1 2 3 0 -3 1 0.3131534984 0
user_59/session_1 2 3 1 1 1 0.2799445461 4
user_59/session_1 2 5 0 1 1 0.1866905551 1
user_34/session_1 0 7 0 0 1 0.5614346407 2
user_34/session_1 0 9 0 3 -1 0.2775492246 3
user_34/session_1 0 9 1 -4 -1 0.1715971399 4
user_34/session_1 0 5 0 -4 1 0.3909367851 1
user_34/session_1 0 5 0 2 1 0.275709549 1
user_34/session_1 0 3 0 2 1 0.2000349578 0
user_34/session_1 0 3 2 1 1 0.2656829959 5
user_34/session_1 0 7 0 1 1 0.4132114214 2
user_34/session_1 0 5 0 3 1 0.2305367569 1
user_34/session_1 0 3 0 2 1 0.3047008233 0
user_34/session_1 0 3 1 1 1 0.4278345014 4
user_34/session_1 0 5 0 1 1 0.2202982924 1
user_34/session_1 0 5 2 2 1 0.300255117 5
user_34/session_1 0 7 0 2 1 0.2235941571 2
user_34/session_1 0 9 0 3 -1 0.2601015144 3
user_34/session_1 0 9 1 -4 -1 0.4387154765 4
user_34/session_1 0 9 0 -4 -1 0.3364789244 3
user_34/session_1 0 7 0 -4 1 0.1722131748 2
